dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,TurkForecast-FM-Chronos2-LoRA-v1,4145797.488463595,4145797.488463595,357.97367393467607,0.8711999929238592,3.7828414394588368,0.8360760492923797,15.432955463966756,2036.1231515955992,5.380865066630999,0.946017452499958,0.7026061445524241,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TurkForecast-FM-Chronos2-LoRA-v1,2854813.8535229373,2854813.8535229373,267.82598383026493,0.9588490240362445,3.4515445017801873,0.8189011494265185,20.728725080171767,1689.6194404430062,5.133530703852618,0.8137293395024578,0.6233457308991365,Web/CloudOps,2
bitbrains_fast_storage/5T/short,TurkForecast-FM-Chronos2-LoRA-v1,13813272.941630358,13813272.883602723,1034.2030676695697,0.588926849642918,5.559348561258853,0.9853327063081376,9.442299719640902,3716.621172736113,3.2419222578401636,0.9021113079100637,0.5921277160771736,Web/CloudOps,2
bitbrains_fast_storage/H/short,TurkForecast-FM-Chronos2-LoRA-v1,25593343.002852045,25593343.913878936,1653.2433231962495,1.0045046730749456,0.8551940633444735,0.6120406795293092,68.34015839793562,5058.986361204391,1.557192216177352,0.5088801310949449,0.37188517283298544,Web/CloudOps,2
bitbrains_rnd/5T/long,TurkForecast-FM-Chronos2-LoRA-v1,2314407.0498213544,2314407.0498213544,165.33585963632635,3.2753978851024095,1.2795751991636328,0.7092483613458547,115.21846073163633,1521.3175374724879,5.8278244831833454,0.6333644009242041,0.8730126297517127,Web/CloudOps,2
bitbrains_rnd/5T/medium,TurkForecast-FM-Chronos2-LoRA-v1,2303161.976669191,2303161.976669191,157.1222612676236,4.359229717604128,0.8530047134127788,0.7383417746560365,159.03573459737711,1517.617203602144,6.385389278797625,0.6610934563586716,1.004565433626743,Web/CloudOps,2
bitbrains_rnd/5T/short,TurkForecast-FM-Chronos2-LoRA-v1,1650925.5809867298,1650925.6655343752,137.05585308562328,0.34207670591305334,0.5613496402894474,0.6412752145528795,84.36733568344327,1284.8834892653613,3.2752733665495857,0.349366601078879,0.31943693854230404,Web/CloudOps,2
bitbrains_rnd/H/short,TurkForecast-FM-Chronos2-LoRA-v1,8212963.009784802,8212963.129132655,581.9444275650674,2.8112009545430268,3.8871269629077685,0.5803074897018572,152.45237452104334,2865.8267585087556,4.236042934741475,0.8601851214484488,0.7198871910519904,Web/CloudOps,2
bizitobs_application/10S/long,TurkForecast-FM-Chronos2-LoRA-v1,5508385.564444444,5508385.564444444,1444.5294444444444,2.9496631708273595,0.04264470418294271,0.043645833333333335,21.627569590086416,2346.995007332662,0.09051421622566853,0.0557097267230176,0.04539597373122299,Web/CloudOps,2
bizitobs_application/10S/medium,TurkForecast-FM-Chronos2-LoRA-v1,2196085.12,2196085.12,830.188125,1.8026079477842636,0.02545076847076416,0.02595753033955892,17.99670644890125,1481.9194040162913,0.05819061344630824,0.032599044279103956,0.025662633137848945,Web/CloudOps,2
bizitobs_application/10S/short,TurkForecast-FM-Chronos2-LoRA-v1,347597.08444444445,347597.08444444445,322.35493055555554,1.003902166736118,0.01409513579474555,0.014232810338338215,6.047178036464015,589.5736463279583,0.022737498945655292,0.012431941182046274,0.009567255598719189,Web/CloudOps,2
